66,0.0625
98,0.109375
145,0.140625
200,0.203125
251,0.234375
315,0.3125
355,0.359375
410,0.40625
466,0.46875
524,0.53125
577,0.5625
635,0.640625
689,0.671875
750,0.734375
809,0.796875
860,0.859375
916,0.90625
981,0.96875
1034,1.03125
1095,1.09375
1150,1.15625
1230,1.23438
1279,1.25
1332,1.32812
1389,1.375
1459,1.46875
1506,1.5
1567,1.54688
1621,1.60938
1692,1.67188
1751,1.73438
1808,1.79688
1863,1.85938
1922,1.90625
1996,1.98438
2051,2.04688
2307,2.25
2422,2.39062
2508,2.42188
2529,2.46875
2914,2.70312
2559,2.51562
2496,2.48438
2533,2.53125
2599,2.57812
2664,2.65625
2728,2.73438
2789,2.78125
2853,2.84375
2905,2.90625
