72,0.078125
142,0.125
214,0.203125
283,0.265625
359,0.359375
434,0.4375
597,0.546875
590,0.578125
647,0.640625
714,0.71875
802,0.796875
883,0.859375
954,0.921875
1029,1.01562
1103,1.07812
1174,1.17188
1238,1.20312
1310,1.28125
1395,1.35938
1458,1.4375
1564,1.54688
1637,1.60938
1717,1.67188
1787,1.76562
1876,1.8125
1951,1.9375
2016,1.98438
2095,2.07812
2148,2.14062
2246,2.20312
2305,2.26562
2397,2.375
2456,2.42188
2532,2.53125
2607,2.59375
2702,2.67188
2759,2.75
2838,2.79688
2922,2.92188
2978,2.9375
3052,3
3196,3.17188
3278,3.28125
3365,3.3125
3423,3.40625
3491,3.45312
3565,3.48438
3656,3.64062
3720,3.67188
3793,3.78125
